resolution_stategy,dep_key,tree_accurarcy,overlap_tree,contains_bundled,nmb_npm_deps,contains_optionals_and_peers
dep_reach_plus_bundled_plus_peer,@blockstack/clarity@0.3.15,0.9538461538461539,0.9538461538461539,False,44,True
dep_reuse_plus_bundled_plus_peer,@blockstack/clarity@0.3.15,0.9538461538461539,0.9538461538461539,False,44,True
dep_reach,@openfonts/overpass-mono_latin-ext@0.1.1,1.0,1.0,False,1,False
dep_reuse,@openfonts/overpass-mono_latin-ext@0.1.1,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,@openfonts/overpass-mono_latin-ext@0.1.1,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,@openfonts/overpass-mono_latin-ext@0.1.1,1.0,1.0,False,1,False
dep_reach,phosphor-messaging@1.0.6,1.0,1.0,False,2,False
dep_reuse,phosphor-messaging@1.0.6,1.0,1.0,False,2,False
dep_reach_plus_bundled_plus_peer,phosphor-messaging@1.0.6,1.0,1.0,False,2,False
dep_reuse_plus_bundled_plus_peer,phosphor-messaging@1.0.6,1.0,1.0,False,2,False
dep_reach,@worldbrain/storex-hub-interfaces@0.1.6,1.0,1.0,False,1,False
dep_reuse,@worldbrain/storex-hub-interfaces@0.1.6,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,@worldbrain/storex-hub-interfaces@0.1.6,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,@worldbrain/storex-hub-interfaces@0.1.6,1.0,1.0,False,1,False
dep_reach,chaintastic@0.1.1,1.0,1.0,False,1,False
dep_reuse,chaintastic@0.1.1,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,chaintastic@0.1.1,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,chaintastic@0.1.1,1.0,1.0,False,1,False
dep_reach,awesomedocs-cli@1.0.0,1.0,1.0,False,47,False
dep_reuse,awesomedocs-cli@1.0.0,1.0,1.0,False,47,False
dep_reach_plus_bundled_plus_peer,awesomedocs-cli@1.0.0,1.0,1.0,False,47,False
dep_reuse_plus_bundled_plus_peer,awesomedocs-cli@1.0.0,1.0,1.0,False,47,False
dep_reach,@doxteam/service@1.8.0,1.0,1.0,False,25,False
dep_reuse,@doxteam/service@1.8.0,1.0,1.0,False,25,False
dep_reach_plus_bundled_plus_peer,@doxteam/service@1.8.0,1.0,1.0,False,25,False
dep_reuse_plus_bundled_plus_peer,@doxteam/service@1.8.0,1.0,1.0,False,25,False
dep_reach,@kmklabs/vjs-core-6.5.0-hls-5.8.3-ads-5.1.4-dash-2.9.3-ima-2f3a06d-eme-3.2.0@1.0.9,0.5,0.3333333333333333,False,45,False
dep_reuse,@kmklabs/vjs-core-6.5.0-hls-5.8.3-ads-5.1.4-dash-2.9.3-ima-2f3a06d-eme-3.2.0@1.0.9,0.9333333333333333,0.875,False,45,False
dep_reach_plus_bundled_plus_peer,@kmklabs/vjs-core-6.5.0-hls-5.8.3-ads-5.1.4-dash-2.9.3-ima-2f3a06d-eme-3.2.0@1.0.9,0.5,0.3333333333333333,False,45,False
dep_reuse_plus_bundled_plus_peer,@kmklabs/vjs-core-6.5.0-hls-5.8.3-ads-5.1.4-dash-2.9.3-ima-2f3a06d-eme-3.2.0@1.0.9,0.9333333333333333,0.875,False,45,False
dep_reach,eslint-config-leboncoin@1.5.4,0.2309924550203134,0.14244810307802433,False,239,True
dep_reuse,eslint-config-leboncoin@1.5.4,0.9832626645837983,0.9830432842481035,False,239,True
dep_reach_plus_bundled_plus_peer,eslint-config-leboncoin@1.5.4,0.2309924550203134,0.14244810307802433,False,239,True
dep_reuse_plus_bundled_plus_peer,eslint-config-leboncoin@1.5.4,0.9832626645837983,0.9830432842481035,False,239,True
dep_reach,simple-task-manager@0.2.2,1.0,1.0,False,37,False
dep_reuse,simple-task-manager@0.2.2,1.0,1.0,False,37,False
dep_reach_plus_bundled_plus_peer,simple-task-manager@0.2.2,1.0,1.0,False,37,False
dep_reuse_plus_bundled_plus_peer,simple-task-manager@0.2.2,1.0,1.0,False,37,False
dep_reach,react-messaging@0.1.2,0.8117719190680565,0.614100185528757,False,204,True
dep_reuse,react-messaging@0.1.2,0.9621052631578947,0.9515877147319105,False,204,True
dep_reach_plus_bundled_plus_peer,react-messaging@0.1.2,0.8117719190680565,0.614100185528757,False,204,True
dep_reuse_plus_bundled_plus_peer,react-messaging@0.1.2,0.9621052631578947,0.9515877147319105,False,204,True
